iter	Passed	Remaining
912	18405	42073
913	18428	42059
914	18450	42042
915	18471	42025
916	18492	42006
917	18512	41985
918	18531	41962
919	18552	41943
920	18572	41923
921	18592	41902
922	18611	41880
923	18629	41856
924	18650	41838
925	18670	41818
926	18691	41799
927	18711	41778
928	18731	41757
929	18749	41733
930	18769	41712
931	18788	41688
932	18807	41667
933	18826	41644
934	18847	41625
935	18867	41605
936	18886	41582
937	18905	41560
938	18924	41537
939	18942	41513
940	18961	41489
941	18979	41463
942	18998	41443
943	19018	41421
944	19036	41397
945	19056	41376
946	19075	41352
947	19094	41331
948	19112	41306
949	19131	41283
950	19150	41260
951	19169	41238
952	19188	41215
953	19206	41192
954	19226	41171
955	19245	41147
956	19265	41127
957	19290	41117
958	19315	41108
959	19341	41099
960	19366	41090
961	19387	41072
962	19411	41061
963	19433	41043
964	19455	41028
965	19477	41011
966	19496	40989
967	19515	40967
968	19534	40944
969	19553	40922
970	19572	40898
971	19592	40877
972	19609	40852
973	19629	40831
974	19649	40809
975	19668	40787
976	19688	40768
977	19708	40747
978	19729	40728
979	19750	40710
980	19772	40694
981	19795	40679
982	19814	40657
983	19834	40636
984	19854	40616
985	19874	40595
986	19894	40576
987	19914	40554
988	19932	40530
989	19952	40508
990	19971	40487
991	19989	40463
992	20009	40442
993	20028	40420
994	20048	40399
995	20066	40375
996	20085	40351
997	20105	40331
998	20124	40309
999	20144	40288
1000	20164	40267
1001	20185	40250
1002	20203	40224
1003	20220	40199
1004	20241	40180
1005	20263	40164
1006	20283	40143
1007	20303	40123
1008	20322	40101
1009	20343	40081
1010	20363	40062
1011	20385	40045
1012	20407	40029
1013	20427	40009
1014	20449	39991
1015	20468	39970
1016	20488	39950
1017	20508	39929
1018	20527	39907
1019	20547	39886
1020	20567	39866
1021	20586	39844
1022	20605	39821
1023	20626	39802
1024	20645	39780
1025	20665	39760
1026	20684	39737
1027	20704	39717
1028	20723	39695
1029	20745	39677
1030	20765	39657
1031	20783	39634
1032	20803	39613
1033	20823	39592
1034	20846	39577
1035	20865	39555
1036	20886	39537
1037	20906	39516
1038	20925	39494
1039	20945	39473
1040	20963	39450
1041	20982	39427
1042	21001	39405
1043	21021	39384
1044	21041	39364
1045	21060	39343
1046	21080	39322
1047	21101	39302
1048	21121	39282
1049	21141	39262
1050	21161	39242
1051	21181	39222
1052	21202	39202
1053	21219	39178
1054	21240	39159
1055	21260	39137
1056	21279	39117
1057	21298	39095
1058	21318	39073
1059	21337	39050
1060	21356	39030
1061	21379	39014
1062	21400	38995
1063	21420	38975
1064	21441	38956
1065	21461	38936
1066	21481	38917
1067	21502	38898
1068	21521	38876
1069	21540	38854
1070	21560	38833
1071	21579	38811
1072	21599	38790
1073	21618	38767
1074	21636	38744
1075	21656	38724
1076	21675	38702
1077	21695	38680
1078	21716	38663
1079	21736	38642
1080	21759	38626
1081	21782	38612
1082	21803	38594
1083	21825	38577
1084	21845	38556
1085	21865	38536
1086	21883	38512
1087	21901	38488
1088	21920	38466
1089	21939	38444
1090	21960	38425
1091	21978	38401
1092	21998	38382
1093	22018	38361
1094	22038	38340
1095	22059	38321
1096	22078	38300
1097	22097	38278
1098	22117	38257
1099	22138	38238
1100	22159	38220
1101	22178	38197
1102	22200	38181
1103	22220	38161
1104	22240	38140
1105	22258	38117
1106	22277	38094
1107	22297	38075
1108	22315	38050
1109	22336	38031
1110	22356	38011
1111	22376	37992
1112	22396	37971
1113	22416	37951
1114	22436	37931
1115	22454	37907
1116	22475	37888
1117	22493	37865
1118	22514	37846
1119	22533	37824
1120	22553	37804
1121	22573	37783
1122	22594	37764
1123	22612	37741
1124	22629	37716
1125	22649	37695
1126	22669	37675
1127	22685	37647
1128	22701	37621
1129	22720	37600
1130	22740	37578
1131	22759	37557
1132	22779	37536
1133	22798	37515
1134	22818	37495
1135	22837	37472
1136	22856	37450
1137	22875	37428
1138	22894	37407
1139	22913	37385
1140	22933	37364
1141	22952	37343
1142	22968	37316
1143	22986	37293
1144	23005	37270
1145	23024	37249
1146	23042	37226
1147	23064	37208
1148	23087	37192
1149	23109	37176
1150	23131	37158
1151	23150	37137
1152	23170	37116
1153	23190	37097
1154	23212	37079
1155	23231	37058
1156	23252	37039
1157	23271	37017
1158	23290	36995
1159	23310	36975
1160	23331	36956
1161	23349	36932
1162	23368	36911
1163	23388	36891
1164	23406	36868
1165	23425	36846
1166	23445	36826
1167	23466	36807
1168	23485	36785
1169	23504	36762
1170	23522	36740
1171	23542	36719
1172	23561	36698
1173	23582	36678
1174	23601	36657
1175	23617	36631
1176	23637	36611
1177	23659	36593
1178	23680	36575
1179	23701	36556
1180	23720	36534
1181	23738	36511
1182	23759	36493
1183	23779	36471
1184	23799	36451
1185	23818	36430
1186	23837	36409
1187	23857	36388
1188	23876	36366
1189	23894	36344
1190	23912	36321
1191	23932	36299
1192	23951	36278
1193	23970	36256
1194	23990	36237
1195	24010	36216
1196	24030	36196
1197	24050	36176
1198	24069	36154
1199	24092	36138
1200	24117	36126
1201	24141	36112
1202	24167	36101
1203	24188	36081
1204	24207	36060
1205	24226	36038
1206	24246	36018
1207	24266	35997
1208	24283	35972
1209	24302	35951
1210	24322	35930
1211	24341	35909
1212	24360	35888
1213	24381	35868
1214	24400	35847
1215	24419	35825
1216	24437	35803
1217	24456	35781
1218	24475	35759
1219	24494	35737
1220	24513	35716
1221	24532	35695
1222	24551	35673
1223	24570	35650
1224	24588	35628
1225	24608	35608
1226	24627	35586
1227	24646	35564
1228	24664	35542
1229	24686	35524
1230	24706	35504
1231	24725	35483
1232	24744	35461
1233	24764	35440
1234	24782	35417
1235	24799	35393
1236	24818	35372
1237	24837	35351
1238	24858	35331
1239	24878	35310
1240	24899	35292
1241	24919	35273
1242	24941	35255
1243	24964	35239
1244	24985	35220
1245	25004	35198
1246	25023	35177
1247	25043	35157
1248	25061	35134
1249	25079	35111
1250	25099	35091
1251	25120	35071
1252	25140	35052
1253	25161	35034
1254	25182	35014
1255	25206	34999
1256	25230	34985
1257	25254	34971
1258	25276	34952
1259	25295	34932
1260	25314	34910
1261	25332	34887
1262	25353	34868
1263	25373	34848
1264	25393	34828
1265	25413	34808
1266	25433	34787
1267	25453	34767
1268	25472	34746
1269	25492	34726
1270	25511	34704
1271	25532	34685
1272	25553	34666
1273	25572	34645
1274	25592	34624
1275	25612	34604
1276	25633	34585
1277	25652	34564
1278	25671	34542
1279	25691	34522
1280	25710	34501
1281	25729	34479
1282	25747	34457
1283	25767	34437
1284	25786	34415
1285	25804	34392
1286	25822	34369
1287	25841	34347
1288	25862	34329
1289	25881	34307
1290	25901	34287
1291	25921	34267
1292	25940	34245
1293	25961	34228
1294	25981	34207
1295	26001	34187
1296	26020	34165
1297	26038	34142
1298	26060	34125
1299	26080	34105
1300	26098	34082
1301	26118	34062
1302	26138	34042
1303	26156	34019
1304	26176	33999
1305	26196	33978
1306	26213	33954
1307	26232	33934
1308	26253	33915
1309	26272	33894
1310	26293	33875
1311	26315	33856
1312	26333	33834
1313	26354	33815
1314	26374	33795
1315	26394	33775
1316	26415	33756
1317	26435	33736
1318	26455	33716
1319	26474	33694
1320	26493	33673
1321	26517	33658
1322	26539	33641
1323	26560	33622
1324	26580	33601
1325	26600	33581
1326	26620	33561
1327	26638	33538
1328	26656	33515
1329	26675	33494
1330	26696	33475
1331	26716	33455
1332	26736	33435
1333	26755	33413
1334	26776	33395
1335	26798	33377
1336	26818	33358
1337	26838	33337
1338	26857	33315
1339	26875	33294
1340	26895	33273
1341	26915	33253
1342	26935	33233
1343	26956	33213
1344	26974	33192
1345	26994	33171
1346	27014	33151
1347	27033	33129
1348	27052	33108
1349	27073	33089
1350	27092	33068
1351	27111	33047
1352	27131	33027
1353	27151	33006
1354	27170	32985
1355	27187	32962
1356	27207	32942
1357	27226	32920
1358	27245	32899
1359	27265	32879
1360	27286	32859
1361	27305	32838
1362	27326	32819
1363	27345	32798
1364	27364	32777
1365	27383	32755
1366	27401	32733
1367	27420	32712
1368	27439	32691
1369	27458	32669
1370	27478	32649
1371	27497	32628
1372	27517	32608
1373	27538	32589
1374	27559	32570
1375	27581	32552
1376	27601	32532
1377	27622	32513
1378	27643	32494
1379	27661	32472
1380	27681	32452
1381	27701	32432
1382	27721	32411
1383	27739	32389
1384	27759	32369
1385	27778	32348
1386	27799	32328
1387	27819	32308
1388	27843	32293
1389	27867	32277
1390	27889	32260
1391	27911	32242
1392	27932	32223
1393	27955	32207
1394	27974	32185
1395	27994	32165
1396	28014	32145
1397	28034	32125
1398	28053	32104
1399	28072	32083
1400	28092	32062
1401	28113	32043
1402	28132	32022
1403	28153	32004
1404	28174	31984
1405	28194	31964
1406	28214	31944
1407	28234	31924
1408	28253	31903
1409	28274	31883
1410	28293	31862
1411	28312	31841
1412	28331	31819
